house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area,jarak_ke_kota_km
Dijual Rumah Bagus Siap Huni Terawat Lokasi Strategis di Singgasana Pradana Bandung,"Bojongloa Kidul, Bandung",5,3,1,2700000000.0,210,267,5.193800646
Dijual Rumah Luxury di Singgasana Pradana Bandung,"Bojongloa Kidul, Bandung",4,4,2,14000000000.0,400,535,5.193800646
Rumah Murah Siap Huni Dekat Komplek Muara ,"Bojongloa Kidul, Bandung",5,4,2,3300000000.0,325,250,5.193800646
Dijual Cepat Rumah Terawat di Singgasana Pradana Cluster Exclusive Bandung,"Bojongloa Kidul, Bandung",5,3,3,5000000000.0,325,350,5.193800646
"Rumah Siap Huni di Singgasana Pradana, Cluster Premium","Bojongloa Kidul, Bandung",4,3,2,4300000000.0,160,240,5.193800646
Murah Komplek Cluster Siap Huni Sayap Kopo Sauyunan,"Bojongloa Kidul, Bandung",2,1,1,1290000000.0,111,65,5.193800646
Dijual Rumah Siap Huni Di Komplek Mekarwangi Kota Bandung,"Bojongloa Kidul, Bandung",2,2,0,1850000000.0,120,100,5.193800646
"Rumah Nyaman Dijual Cepat Siap Huni di Leuwi Anyar, Bandung","Bojongloa Kidul, Bandung",5,5,2,1350000000.0,165,150,5.193800646
"Rumah Lux Eksklusif Baru di Komplek Singasana Pradana , Bandung","Bojongloa Kidul, Bandung",4,3,2,4300000000.0,160,240,5.193800646
Dijual Rumah Full Renov Minimalis Modern Singgasana Pradana,"Bojongloa Kidul, Bandung",6,4,1,4990000000.0,200,375,5.193800646
"Bikin Betah Nih Rumahnya Lux Minimalis Siap Huni di Komplek Singgasana Pradana, 15 Menit Ke Tol Mohamad Toha","Bojongloa Kidul, Bandung",5,4,3,4150000000.0,157,250,5.193800646
"Rumah Nyaman Bagus SHM di Komplek Singasana Pradana, Bandung","Bojongloa Kidul, Bandung",4,3,1,3000000000.0,200,150,5.193800646
"Rumah Bagus 2 Lantai SHM di Komplek Singasana Pradana , Bandung","Bojongloa Kidul, Bandung",4,4,2,3700000000.0,160,230,5.193800646
Rumah Murah Harga Njop Strategis SHM di Kopo Imanuel Bandung,"Bojongloa Kidul, Bandung",6,4,2,5500000000.0,328,400,5.193800646
"Rumah 2 Lantai Baru HGB di Komplek Mekarwangi , Bandung","Bojongloa Kidul, Bandung",4,3,2,3050000000.0,116,168,5.193800646
RUMAH SINGGASANA PRADANA Bangunan Lux Lokasi Favorit,"Bojongloa Kidul, Bandung",5,3,1,4500000000.0,200,300,5.193800646
Jual Asal Laku Rumah Mewah 2 lantai sayap jalan Peta,"Bojongloa Kidul, Bandung",4,3,2,3970000000.0,270,290,5.193800646
"Rumah minimalis siap huni lt206/200 hrg1,65m di Margahayu SoekarnoHata","Buah Batu, Bandung",5,4,2,1650000000.0,206,200,5.260994555
Rumah Margahayu Raya Soetta Murah 385jt Jarang Ada Kota Bandung,"Buah Batu, Bandung",2,1,1,385000000.0,69,40,5.260994555
Turun Harga! One Gate dkt Batununggal Buah Batu,"Buah Batu, Bandung",4,2,1,1290000000.0,112,140,5.260994555
Rumah Suryamas Residence,"Buah Batu, Bandung",3,3,0,2200000000.0,113,180,5.260994555
Rumah Siap Huni Furnish Nyaman di Buah Batu Regency Bandung,"Buah Batu, Bandung",5,4,0,4000000000.0,230,160,5.260994555
Rumah Dan Murah Sayap Buahbatu Dalam Komplek Yang Sangat Asri Daerah Martanegara Turangga Bandung,"Buah Batu, Bandung",4,3,2,2650000000.0,166,260,5.260994555
Rumah Minimalis Nyaman Terawat Dijual Cepat Harga Murah Di Cluster Buah Batu Bandung,"Buah Batu, Bandung",2,1,1,650000000.0,97,60,5.260994555
Dijual Rumah Baru Dalam Komplek Desain Minimalis Daerah Martanegara Buahbatu Bandung,"Buah Batu, Bandung",4,3,2,2400000000.0,120,200,5.260994555
Dijual Rumah Baru Dalam Komplek Desain Minimalis Daerah Martanegara Buahbatu Bandung,"Buah Batu, Bandung",3,3,2,2300000000.0,120,200,5.260994555
Dijual Rumah Baru Dalam Komplek Desain Minimalis Daerah Martanegara Buahbatu Bandung,"Buah Batu, Bandung",3,3,2,2200000000.0,120,200,5.260994555
Dijual Rumah Cantik Langsung Huni di Buahbatu Bandung,"Buah Batu, Bandung",6,4,1,3300000000.0,204,350,5.260994555
Dijual Rumah Buah Batu Regency Semi Furnish,"Buah Batu, Bandung",3,3,2,1650000000.0,105,112,5.260994555
"Komp. Margahayu Raya, Buahbatu, Kota Bandung. Rumah Siap Huni 1 Lantai Soekarno Hatta","Buah Batu, Bandung",2,1,1,825000000.0,140,94,5.260994555
Rumah siap huni ada kolam renang di pasirluyu buah batu,"Buah Batu, Bandung",6,6,2,6000000000.0,265,330,5.260994555
Rumah di Gland Ciwastra Park Bandung Derwati Buahbatu,"Buah Batu, Bandung",2,1,1,600000000.0,72,36,5.260994555
